dataset,query_mode,workload,query_id,node_id,node_type,node_class,join_count,relation_count,relations,estimated_cardinality,actual_cardinality,actual_loops,actual_rows_total,q_error,signed_log10_error,bias,total_cost,actual_total_time
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,12,12:0003,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,29.781
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,12,12:0004,Hash Join,join,1,2,movie_companies AS mc|title AS t,509589.0,508866.0,1.0,508866.0,1.0014208062633385,0.0006166103817304612,over,41068.42,217.444
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,12,12:0005,Hash Join,join,2,3,movie_companies AS mc|movie_info AS mi|title AS t,7814577.0,8941773.0,1.0,8941773.0,1.1442427402020607,-0.0585181656698535,under,291012.68,1683.721
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,13,13:0001,Seq Scan,scan,0,1,movie_info AS mi,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,-0.00023515058532739958,under,99127.78,344.801
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,13,13:0002,Seq Scan,scan,0,1,movie_companies AS mc,512185.0,511623.0,1.0,511623.0,1.0010984650807333,0.0004767954994389793,over,15009.73,52.753
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,13,13:0003,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,29.434
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,13,13:0004,Hash Join,join,1,2,movie_companies AS mc|title AS t,509589.0,508866.0,1.0,508866.0,1.0014208062633385,0.0006166103817304612,over,41068.42,212.777
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,13,13:0005,Hash Join,join,2,3,movie_companies AS mc|movie_info AS mi|title AS t,7814577.0,8941773.0,1.0,8941773.0,1.1442427402020607,-0.0585181656698535,under,291012.68,1675.494
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,14,14:0001,Seq Scan,scan,0,1,movie_info AS mi,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,-0.00023515058532739958,under,99127.78,343.042
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,14,14:0002,Seq Scan,scan,0,1,movie_companies AS mc,512185.0,511623.0,1.0,511623.0,1.0010984650807333,0.0004767954994389793,over,15009.73,52.323
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,14,14:0003,Seq Scan,scan,0,1,title AS t,341005.0,341478.0,1.0,341478.0,1.0013870764358295,-0.0006019822408182124,under,7937.19,29.802
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,14,14:0004,Hash Join,join,1,2,movie_companies AS mc|title AS t,496956.0,493659.0,1.0,493659.0,1.0066786992640668,0.002890879289895145,over,40767.73,213.579
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,14,14:0005,Hash Join,join,2,3,movie_companies AS mc|movie_info AS mi|title AS t,7620842.0,8596634.0,1.0,8596634.0,1.1280425443802666,-0.052325479471040916,under,288518.8,1654.344
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,15,15:0001,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,28.817
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,15,15:0002,Bitmap Heap Scan,scan,0,1,movie_keyword AS mk,29763.0,29606.0,1.0,29606.0,1.0053029791258528,0.0022969695498624996,over,12067.13,11.232
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,15,15:0003,Hash Join,join,1,2,movie_keyword AS mk|title AS t,29612.0,29560.0,1.0,29560.0,1.0017591339648173,0.0007633109873761439,over,25480.49,69.3
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,15,15:0004,Index Only Scan,scan,0,1,cast_info AS ci,22.0,13.0,29560.0,384280.0,1.6923076923076923,0.22847932851536945,over,0.88,0.002
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,15,15:0005,Nested Loop,join,2,3,cast_info AS ci|movie_keyword AS mk|title AS t,419605.0,395917.0,1.0,395917.0,1.0598307220957928,0.025236504575640372,over,57970.48,153.095
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,16,16:0001,Seq Scan,scan,0,1,cast_info AS ci,4980154.0,4980221.0,1.0,4980221.0,1.0000134533992322,-5.8426977474323235e-06,under,84857.54,391.015
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,16,16:0002,Seq Scan,scan,0,1,movie_keyword AS mk,2095957.0,2095957.0,1.0,2095957.0,1.0,0.0,exact,32319.57,117.674
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,16,16:0003,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,24.69
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,16,16:0004,Hash Join,join,1,2,movie_keyword AS mk|title AS t,2085336.0,2081736.0,1.0,2081736.0,1.0017293259087607,0.0007503880536813798,over,92448.88,515.843
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,16,16:0005,Hash Join,join,2,3,cast_info AS ci|movie_keyword AS mk|title AS t,29549429.0,41575478.0,1.0,41575478.0,1.406980757563877,-0.14828815788892313,under,603868.95,3829.718
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,17,17:0001,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,26.832
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,17,17:0002,Bitmap Heap Scan,scan,0,1,movie_keyword AS mk,29763.0,29606.0,1.0,29606.0,1.0053029791258528,0.0022969695498624996,over,12067.13,6.271
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,17,17:0003,Hash Join,join,1,2,movie_keyword AS mk|title AS t,29612.0,29560.0,1.0,29560.0,1.0017591339648173,0.0007633109873761439,over,25480.49,61.316
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,17,17:0004,Index Only Scan,scan,0,1,cast_info AS ci,22.0,13.0,29560.0,384280.0,1.6923076923076923,0.22847932851536945,over,0.88,0.002
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,17,17:0005,Nested Loop,join,2,3,cast_info AS ci|movie_keyword AS mk|title AS t,419605.0,395917.0,1.0,395917.0,1.0598307220957928,0.025236504575640372,over,57970.48,131.668
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,18,18:0001,Seq Scan,scan,0,1,title AS t,322683.0,322893.0,1.0,322893.0,1.0006507935032214,-0.00028254409834471326,under,7937.19,26.408
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,18,18:0002,Bitmap Heap Scan,scan,0,1,movie_keyword AS mk,29763.0,29606.0,1.0,29606.0,1.0053029791258528,0.0022969695498624996,over,12067.13,6.235
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,18,18:0003,Hash Join,join,1,2,movie_keyword AS mk|title AS t,27326.0,28434.0,1.0,28434.0,1.0405474639537438,-0.01726189508398461,under,25086.5,58.861
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,18,18:0004,Index Only Scan,scan,0,1,cast_info AS ci,22.0,13.0,28434.0,369642.0,1.6923076923076923,0.22847932851536945,over,0.88,0.002
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,18,18:0005,Nested Loop,join,2,3,cast_info AS ci|movie_keyword AS mk|title AS t,387212.0,365389.0,1.0,365389.0,1.0597253885584952,0.02519333914697783,over,55204.75,124.267
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,19,19:0001,Seq Scan,scan,0,1,cast_info AS ci,4980154.0,4980221.0,1.0,4980221.0,1.0000134533992322,-5.8426977474323235e-06,under,84857.54,389.351
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,19,19:0002,Seq Scan,scan,0,1,movie_keyword AS mk,2095957.0,2095957.0,1.0,2095957.0,1.0,0.0,exact,32319.57,116.019
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,19,19:0003,Seq Scan,scan,0,1,title AS t,341005.0,341478.0,1.0,341478.0,1.0013870764358295,-0.0006019822408182124,under,7937.19,24.772
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,19,19:0004,Hash Join,join,1,2,movie_keyword AS mk|title AS t,2033637.0,2002263.0,1.0,2002263.0,1.0156692702207453,0.006752312769555741,over,91757.53,500.738
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,19,19:0005,Hash Join,join,2,3,cast_info AS ci|movie_keyword AS mk|title AS t,28816848.0,39752952.0,1.0,39752952.0,1.3795038235965293,-0.1397229085590045,under,594801.55,3717.49
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,20,20:0001,Index Scan,scan,0,1,title AS t,1476.0,1541.0,1.0,1541.0,1.0440379403794038,-0.018716281231396566,under,6898.36,0.515
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,20,20:0002,Index Only Scan,scan,0,1,cast_info AS ci,22.0,19.0,1541.0,29279.0,1.1578947368421053,0.0636690798693773,over,4.41,0.003
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,20,20:0003,Nested Loop,join,1,2,cast_info AS ci|title AS t,20915.0,28525.0,1.0,28525.0,1.363853693521396,-0.1347677841736032,under,13737.37,6.887
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,21,21:0001,Index Scan,scan,0,1,title AS t,1476.0,1541.0,1.0,1541.0,1.0440379403794038,-0.018716281231396566,under,6898.36,0.501
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,21,21:0002,Index Only Scan,scan,0,1,cast_info AS ci,22.0,19.0,1541.0,29279.0,1.1578947368421053,0.0636690798693773,over,4.41,0.003
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,21,21:0003,Nested Loop,join,1,2,cast_info AS ci|title AS t,20915.0,28525.0,1.0,28525.0,1.363853693521396,-0.1347677841736032,under,13737.37,6.607
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,22,22:0001,Index Scan,scan,0,1,title AS t,1476.0,1541.0,1.0,1541.0,1.0440379403794038,-0.018716281231396566,under,6898.36,0.498
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,22,22:0002,Index Only Scan,scan,0,1,cast_info AS ci,22.0,19.0,1541.0,29279.0,1.1578947368421053,0.0636690798693773,over,4.41,0.003
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,22,22:0003,Nested Loop,join,1,2,cast_info AS ci|title AS t,20915.0,28525.0,1.0,28525.0,1.363853693521396,-0.1347677841736032,under,13737.37,6.576
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,23,23:0001,Seq Scan,scan,0,1,movie_companies AS mc,777098.0,777098.0,1.0,777098.0,1.0,0.0,exact,13066.98,37.767
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,23,23:0002,Bitmap Heap Scan,scan,0,1,cast_info AS ci,76694.0,77654.0,1.0,77654.0,1.0125172764492658,-0.005402442259615596,under,36869.49,68.775
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,23,23:0003,Seq Scan,scan,0,1,title AS t,351455.0,351455.0,1.0,351455.0,1.0,0.0,exact,7058.55,22.456
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,23,23:0004,Hash Join,join,1,2,cast_info AS ci|title AS t,76694.0,77654.0,1.0,77654.0,1.0125172764492658,-0.005402442259615596,under,52721.77,151.86
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,23,23:0005,Hash Join,join,2,3,cast_info AS ci|movie_companies AS mc|title AS t,169577.0,200412.0,1.0,200412.0,1.181834800710002,-0.072556774215145,under,71357.31,264.731
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,24,24:0001,Seq Scan,scan,0,1,movie_companies AS mc,777098.0,777098.0,1.0,777098.0,1.0,0.0,exact,13066.98,37.659
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,24,24:0002,Bitmap Heap Scan,scan,0,1,cast_info AS ci,76694.0,77654.0,1.0,77654.0,1.0125172764492658,-0.005402442259615596,under,36869.49,76.028
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,24,24:0003,Seq Scan,scan,0,1,title AS t,351455.0,351455.0,1.0,351455.0,1.0,0.0,exact,7058.55,22.26
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,24,24:0004,Hash Join,join,1,2,cast_info AS ci|title AS t,76694.0,77654.0,1.0,77654.0,1.0125172764492658,-0.005402442259615596,under,52721.77,161.152
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,24,24:0005,Hash Join,join,2,3,cast_info AS ci|movie_companies AS mc|title AS t,169577.0,200412.0,1.0,200412.0,1.181834800710002,-0.072556774215145,under,71357.31,276.111
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,25,25:0001,Seq Scan,scan,0,1,movie_companies AS mc,777098.0,777098.0,1.0,777098.0,1.0,0.0,exact,13066.98,56.619
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,25,25:0002,Bitmap Heap Scan,scan,0,1,cast_info AS ci,533208.0,536967.0,1.0,536967.0,1.0070497816986992,-0.0030509396525903345,under,47661.89,93.881
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,25,25:0003,Seq Scan,scan,0,1,title AS t,351455.0,351455.0,1.0,351455.0,1.0,0.0,exact,7058.55,22.14
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,25,25:0004,Hash Join,join,1,2,cast_info AS ci|title AS t,533208.0,536967.0,1.0,536967.0,1.0070497816986992,-0.0030509396525903345,under,73357.24,251.752
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,25,25:0005,Hash Join,join,2,3,cast_info AS ci|movie_companies AS mc|title AS t,1178970.0,1365824.0,1.0,1365824.0,1.1584891897164473,-0.06389198558529581,under,119002.51,556.871
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,26,26:0001,Bitmap Heap Scan,scan,0,1,cast_info AS ci,1008481.0,1015446.0,1.0,1015446.0,1.006906426596039,-0.002989112756963952,under,58894.17,171.661
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,26,26:0002,Seq Scan,scan,0,1,movie_companies AS mc,777098.0,777098.0,1.0,777098.0,1.0,0.0,exact,13066.98,48.967
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,26,26:0003,Seq Scan,scan,0,1,title AS t,344379.0,344303.0,1.0,344303.0,1.0002207358053807,9.585376344564407e-05,over,8815.83,40.479
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,26,26:0004,Hash Join,join,1,2,movie_companies AS mc|title AS t,761452.0,759781.0,1.0,759781.0,1.00219931796136,0.0009541028509613876,over,45480.18,266.939
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,26,26:0005,Hash Join,join,2,3,cast_info AS ci|movie_companies AS mc|title AS t,2184946.0,2271853.0,1.0,2271853.0,1.0397753537158356,-0.016939518933231902,under,154614.36,795.45
