dataset,query_mode,workload,query_id,node_id,node_type,node_class,join_count,relation_count,relations,estimated_cardinality,actual_cardinality,actual_loops,actual_rows_total,q_error,signed_log10_error,bias,total_cost,actual_total_time
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,01:0001,Seq Scan,scan,0,1,title AS t,351455.0,351455.0,1.0,351455.0,1.0,0.0,exact,7058.55,16.496
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,01:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,469.0,250.0,1.0,250.0,1.876,0.2732328340430456,over,1357.19,0.053
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,01:0003,Hash Join,join,1,2,movie_info_idx AS mi_idx|title AS t,469.0,250.0,1.0,250.0,1.876,0.2732328340430456,over,10183.57,36.062
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,01:0004,Index Scan,scan,0,1,movie_companies AS mc,1.0,1.0,250.0,250.0,1.0,0.0,exact,0.55,0.012
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,01:0005,Nested Loop,join,2,3,movie_companies AS mc|movie_info_idx AS mi_idx|title AS t,354.0,144.0,1.0,144.0,2.4583333333333335,0.3906407699305382,over,10443.96,39.202
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,02:0001,Index Scan,scan,0,1,title AS t,2577.0,2298.0,1.0,2298.0,1.1214099216710183,0.049764394198638366,over,8084.56,0.558
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,02:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,23.0,10.0,1.0,10.0,2.3,0.36172783601759284,over,75.38,0.019
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,02:0003,Hash Join,join,1,2,movie_info_idx AS mi_idx|title AS t,1.0,1.0,1.0,1.0,1.0,0.0,exact,8173.11,0.699
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,02:0004,Index Scan,scan,0,1,movie_companies AS mc,2.0,1.0,1.0,1.0,2.0,0.3010299956639812,over,6.48,0.035
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,02:0005,Nested Loop,join,2,3,movie_companies AS mc|movie_info_idx AS mi_idx|title AS t,1.0,1.0,1.0,1.0,1.0,0.0,exact,8179.61,0.736
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,03:0001,Seq Scan,scan,0,1,title AS t,332113.0,332500.0,1.0,332500.0,1.0011652660389687,-0.0005057739872449103,under,7937.19,26.805
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,03:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,469.0,250.0,1.0,250.0,1.876,0.2732328340430456,over,1357.19,0.048
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,03:0003,Hash Join,join,1,2,movie_info_idx AS mi_idx|title AS t,443.0,221.0,1.0,221.0,2.004524886877828,0.30201145253795886,over,10965.24,41.21
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,03:0004,Index Scan,scan,0,1,movie_companies AS mc,1.0,1.0,221.0,221.0,1.0,0.0,exact,0.55,0.004
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,03:0005,Nested Loop,join,2,3,movie_companies AS mc|movie_info_idx AS mi_idx|title AS t,334.0,131.0,1.0,131.0,2.549618320610687,0.40647517115580023,over,11213.26,42.25
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,04:0001,Seq Scan,scan,0,1,title AS t,304489.0,304849.0,1.0,304849.0,1.001182308720512,-0.0005131668521446787,under,7937.19,26.504
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,04:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,23.0,10.0,1.0,10.0,2.3,0.36172783601759284,over,75.38,0.016
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,04:0003,Index Scan,scan,0,1,movie_companies AS mc,2.0,2.0,10.0,20.0,1.0,0.0,exact,9.37,0.015
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,04:0004,Nested Loop,join,1,2,movie_companies AS mc|movie_info_idx AS mi_idx,34.0,15.0,1.0,15.0,2.2666666666666666,0.3553876579865739,over,291.42,0.169
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,04:0005,Hash Join,join,2,3,movie_companies AS mc|movie_info_idx AS mi_idx|title AS t,29.0,1.0,1.0,1.0,29.0,1.462397997898956,over,9371.16,39.015
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,05:0001,Seq Scan,scan,0,1,title AS t,351455.0,351455.0,1.0,351455.0,1.0,0.0,exact,7058.55,16.076
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,05:0002,Index Scan,scan,0,1,movie_keyword AS mk,127.0,22.0,1.0,22.0,5.7727272727272725,0.7613810401337506,over,276.94,0.07
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,05:0003,Index Only Scan,scan,0,1,movie_companies AS mc,2.0,2.0,22.0,44.0,1.0,0.0,exact,4.37,0.004
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,05:0004,Nested Loop,join,1,2,movie_companies AS mc|movie_keyword AS mk,301.0,44.0,1.0,44.0,6.840909090909091,0.8351138191076559,over,834.81,0.171
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,05:0005,Hash Join,join,2,3,movie_companies AS mc|movie_keyword AS mk|title AS t,281.0,44.0,1.0,44.0,6.386363636363637,0.8052536434188925,over,9218.09,34.263
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,06:0001,Seq Scan,scan,0,1,movie_info AS mi,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,-0.00023515058532739958,under,99127.78,414.57
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,06:0002,Seq Scan,scan,0,1,movie_keyword AS mk,2095957.0,2095957.0,1.0,2095957.0,1.0,0.0,exact,32319.57,118.418
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,06:0003,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,24.948
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,06:0004,Hash Join,join,1,2,movie_keyword AS mk|title AS t,2085336.0,2081736.0,1.0,2081736.0,1.0017293259087607,0.0007503880536813798,over,92448.88,513.861
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,06:0005,Hash Join,join,2,3,movie_info AS mi|movie_keyword AS mk|title AS t,31978714.0,43131219.0,1.0,43131219.0,1.3487477639032013,-0.1299307376722048,under,649726.34,3956.291
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,07:0001,Seq Scan,scan,0,1,movie_info AS mi,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,-0.00023515058532739958,under,99127.78,413.787
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,07:0002,Seq Scan,scan,0,1,movie_keyword AS mk,2095957.0,2095957.0,1.0,2095957.0,1.0,0.0,exact,32319.57,116.551
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,07:0003,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,24.727
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,07:0004,Hash Join,join,1,2,movie_keyword AS mk|title AS t,2085336.0,2081736.0,1.0,2081736.0,1.0017293259087607,0.0007503880536813798,over,92448.88,508.837
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,07:0005,Hash Join,join,2,3,movie_info AS mi|movie_keyword AS mk|title AS t,31978714.0,43131219.0,1.0,43131219.0,1.3487477639032013,-0.1299307376722048,under,649726.34,3945.972
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,08,08:0001,Seq Scan,scan,0,1,movie_info AS mi,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,-0.00023515058532739958,under,99127.78,410.963
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,08,08:0002,Seq Scan,scan,0,1,movie_keyword AS mk,2095957.0,2095957.0,1.0,2095957.0,1.0,0.0,exact,32319.57,116.976
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,08,08:0003,Seq Scan,scan,0,1,title AS t,341005.0,341478.0,1.0,341478.0,1.0013870764358295,-0.0006019822408182124,under,7937.19,24.545
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,08,08:0004,Hash Join,join,1,2,movie_keyword AS mk|title AS t,2033637.0,2002263.0,1.0,2002263.0,1.0156692702207453,0.006752312769555741,over,91757.53,500.509
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,08,08:0005,Hash Join,join,2,3,movie_info AS mi|movie_keyword AS mk|title AS t,31185912.0,41293544.0,1.0,41293544.0,1.324108911741943,-0.12192370853511345,under,640056.69,3836.999
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,09,09:0001,Seq Scan,scan,0,1,title AS t,341005.0,341478.0,1.0,341478.0,1.0013870764358295,-0.0006019822408182124,under,7937.19,26.828
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,09,09:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,23.0,10.0,1.0,10.0,2.3,0.36172783601759284,over,75.38,0.02
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,09,09:0003,Hash Join,join,1,2,movie_info_idx AS mi_idx|title AS t,22.0,9.0,1.0,9.0,2.4444444444444446,0.3881801713828814,over,9718.1,40.677
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,09,09:0004,Index Only Scan,scan,0,1,movie_keyword AS mk,9.0,5.0,9.0,45.0,1.8,0.25527250510330607,over,0.62,0.005
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,09,09:0005,Nested Loop,join,2,3,movie_info_idx AS mi_idx|movie_keyword AS mk|title AS t,131.0,48.0,1.0,48.0,2.7291666666666665,0.43603005828017705,over,9733.67,40.727
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,10,10:0001,Seq Scan,scan,0,1,title AS t,332113.0,332500.0,1.0,332500.0,1.0011652660389687,-0.0005057739872449103,under,7937.19,27.372
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,10,10:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,23.0,10.0,1.0,10.0,2.3,0.36172783601759284,over,75.38,0.017
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,10,10:0003,Hash Join,join,1,2,movie_info_idx AS mi_idx|title AS t,22.0,9.0,1.0,9.0,2.4444444444444446,0.3881801713828814,over,9673.64,40.928
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,10,10:0004,Index Only Scan,scan,0,1,movie_keyword AS mk,9.0,5.0,9.0,45.0,1.8,0.25527250510330607,over,0.62,0.005
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,10,10:0005,Nested Loop,join,2,3,movie_info_idx AS mi_idx|movie_keyword AS mk|title AS t,131.0,48.0,1.0,48.0,2.7291666666666665,0.43603005828017705,over,9689.23,40.979
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,11,11:0001,Seq Scan,scan,0,1,title AS t,349674.0,349934.0,1.0,349934.0,1.000743549706298,-0.00032279954058071737,under,7937.19,27.642
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,11,11:0002,Index Scan,scan,0,1,movie_info_idx AS mi_idx,23.0,10.0,1.0,10.0,2.3,0.36172783601759284,over,75.38,0.019
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,11,11:0003,Hash Join,join,1,2,movie_info_idx AS mi_idx|title AS t,23.0,10.0,1.0,10.0,2.3,0.36172783601759284,over,9761.45,41.786
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,11,11:0004,Index Only Scan,scan,0,1,movie_keyword AS mk,9.0,6.0,10.0,60.0,1.5,0.17609125905568124,over,0.62,0.005
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,11,11:0005,Nested Loop,join,2,3,movie_info_idx AS mi_idx|movie_keyword AS mk|title AS t,137.0,57.0,1.0,57.0,2.4035087719298245,0.38084571148391533,over,9777.71,41.839
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,12,12:0001,Seq Scan,scan,0,1,movie_info AS mi,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,-0.00023515058532739958,under,99127.78,343.699
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,12,12:0002,Seq Scan,scan,0,1,movie_companies AS mc,512185.0,511623.0,1.0,511623.0,1.0010984650807333,0.0004767954994389793,over,15009.73,51.2
