dataset,query_mode,workload,query_id,method,seed,actual_cardinality,estimated_cardinality,q_error,signed_log10_error,bias,zero_estimate_flag
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,DuckDB,,144,194346,1349.625,3.13021311438063,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,DuckDB,,1,38869,38869.0,4.589603367488264,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,DuckDB,,131,38869,296.70992366412213,2.4723320718324997,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,DuckDB,,1,38869,38869.0,4.589603367488264,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,DuckDB,,44,132,3.0,0.47712125471966244,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,DuckDB,,43131219,3215900,13.411865729655773,-1.1274891969218976,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,DuckDB,,43131219,3215900,13.411865729655773,-1.1274891969218976,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,08,DuckDB,,41293544,3215900,12.840431605460369,-1.1085796219197104,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,09,DuckDB,,48,209673,4368.1875,3.640301271745142,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,10,DuckDB,,48,209673,4368.1875,3.640301271745142,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,11,DuckDB,,57,209673,3678.4736842105262,3.5656676534482377,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,12,DuckDB,,8941773,596164,14.998847632530646,-1.1760578933184742,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,13,DuckDB,,8941773,596164,14.998847632530646,-1.1760578933184742,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,14,DuckDB,,8596634,596164,14.419914654356855,-1.1589626899776155,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,15,DuckDB,,395917,170,2328.923529411765,-3.367155228637844,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,16,DuckDB,,41575478,2970032,13.99832661735631,-1.1460761225150649,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,17,DuckDB,,395917,170,2328.923529411765,-3.367155228637844,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,18,DuckDB,,365389,170,2149.3470588235296,-3.3323065474422697,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,19,DuckDB,,39752952,2970032,13.384688111104527,-1.1266082557467543,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,20,DuckDB,,28525,996044,34.918282208588955,1.5430528706096822,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,21,DuckDB,,28525,996044,34.918282208588955,1.5430528706096822,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,22,DuckDB,,28525,996044,34.918282208588955,1.5430528706096822,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,23,DuckDB,,200412,458821,2.289388858950562,0.359719565043853,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,24,DuckDB,,200412,458821,2.289388858950562,0.359719565043853,over,False
