dataset,query_mode,workload,query_id,method,seed,actual_cardinality,estimated_cardinality,q_error,signed_log10_error,bias,zero_estimate_flag
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,25,DuckDB,,1365824,458821,2.9768123080678524,-0.4737514526715335,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,26,DuckDB,,2271853,91764,24.75756287868881,-1.3937078907345493,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,27,DuckDB,,3157,91764,29.06683560342097,1.4633977543443375,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,28,DuckDB,,3092678,91764,33.70251950656031,-1.5276623687317326,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,29,DuckDB,,3092678,91764,33.70251950656031,-1.5276623687317326,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,30,DuckDB,,11260927,1101170,10.226329267960443,-1.0097197720553053,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,31,DuckDB,,12598,13,969.0769230769231,-2.986358251707017,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,32,DuckDB,,6,66,11.0,1.041392685158225,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,33,DuckDB,,4818736,463434,10.397890530258893,-1.0169452408380146,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,34,DuckDB,,2,39759,19879.5,4.298405457024487,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,35,DuckDB,,19,397590,20925.78947368421,4.32068185173564,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,36,DuckDB,,93,39759,427.51612903225805,2.630952504134534,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,37,DuckDB,,947094,66265,14.29252244774768,-1.1551088829870828,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,38,DuckDB,,1888,357455,189.32997881355934,2.277219386295934,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,39,DuckDB,,1888,357455,189.32997881355934,2.277219386295934,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,40,DuckDB,,48,214472,4468.166666666667,3.6501293643235333,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,41,DuckDB,,25663187,474042,54.136947780998305,-1.733493766779212,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,42,DuckDB,,24953844,474042,52.640576151480246,-1.7213206339881042,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,43,DuckDB,,25663187,474042,54.136947780998305,-1.733493766779212,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,44,DuckDB,,387,1879,4.855297157622739,0.6862158150816142,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,45,DuckDB,,83,2548052,30699.421686746988,4.487130194349492,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,46,DuckDB,,450,509610,1132.4666666666667,3.054025427730538,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,47,DuckDB,,158,2548052,16126.911392405063,4.207551199771143,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,48,DuckDB,,9406890,93864,100.21829455382255,-2.000947007943815,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,49,DuckDB,,8194944,469324,17.461165420903257,-1.2420732267106929,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,50,DuckDB,,8124582,93864,86.55695474303248,-1.9373019686317,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,51,DuckDB,,1888,4950068,2621.8580508474574,3.41860917499615,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,52,DuckDB,,1888,4950068,2621.8580508474574,3.41860917499615,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,53,DuckDB,,445819,203,2196.152709359606,-3.341662535471292,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,54,DuckDB,,433327,203,2134.615763546798,-3.329319712246687,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,55,DuckDB,,466204,203,2296.5714285714284,-3.3610799575057406,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,56,DuckDB,,100,474218,4742.18,3.6759780345690163,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,57,DuckDB,,100,474218,4742.18,3.6759780345690163,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,58,DuckDB,,85900998,559778,153.45547341982,-2.185982383374762,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,59,DuckDB,,1148364,101,11369.940594059406,-4.05575819558135,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,60,DuckDB,,94787754,559778,169.3309740647185,-2.2287364066322963,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,61,DuckDB,,880,15195711,17267.85340909091,4.237238353170867,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,62,DuckDB,,736,3039142,4129.26902173913,3.6158731780674476,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,63,DuckDB,,1888,4951899,2622.8278601694915,3.4187697881764256,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,64,DuckDB,,1888,4951899,2622.8278601694915,3.4187697881764256,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,65,DuckDB,,4722,9,524.6666666666666,-2.7198834733033834,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,66,DuckDB,,109,474218,4350.623853211009,3.638551536628393,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,67,DuckDB,,100,474218,4742.18,3.6759780345690163,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,68,DuckDB,,890131,32,27816.59375,-4.4443039478648965,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,69,DuckDB,,626440,32,19576.25,-4.2917295025700914,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,70,DuckDB,,880,3039142,3453.5704545454546,3.5382683202547778,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,DuckDB,,6,6219,1036.5,3.01556930642988,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,DuckDB,,1,1243,1243.0,3.094471128641645,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,DuckDB,,6,1243,207.16666666666666,2.316319878258001,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,DuckDB,,4,1243,310.75,2.4924111373136824,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,2a,DuckDB,,33006,7,4715.142857142857,-3.6734948553191527,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,2b,DuckDB,,3110,7,444.2857142857143,-2.6476623490125806,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,2c,DuckDB,,28320,7,4045.714285714286,-3.6069952090034745,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,2d,DuckDB,,2806,7,400.85714285714283,-2.602989626678084,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,DuckDB,,13,298424,22955.69230769231,4.3608903949402755,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,DuckDB,,343675,9,38186.11111111111,-4.581905431900876,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,DuckDB,,21,298424,14210.666666666666,4.152614452513193,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,DuckDB,,277752,3113,89.22325730806295,-1.950478074152124,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,4b,DuckDB,,151446,3113,48.649534211371666,-1.6870786865283294,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,4c,DuckDB,,345735,3113,111.061676839062,-2.0455642262809204,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,5a,DuckDB,,1156,23846,20.6280276816609,1.314457705534004,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,5b,DuckDB,,150,23846,158.97333333333333,2.201324280562833,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,5c,DuckDB,,1368,23846,17.431286549707604,1.2413294422344168,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,6a,DuckDB,,6880,126,54.6031746031746,-1.7372178931179483,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,6b,DuckDB,,1,275608,275608.0,5.440291819568789,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,6c,DuckDB,,321100,126,2548.4126984126983,-3.4062697604489394,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,6d,DuckDB,,1,275608,275608.0,5.440291819568789,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,6e,DuckDB,,6806,126,54.01587301587302,-1.7325213996422277,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,6f,DuckDB,,17,1378044,81061.41176470589,4.908814163139728,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,7a,DuckDB,,1,8,8.0,0.9030899869919435,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,7b,DuckDB,,34,8,4.25,-0.6283889300503115,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,7c,DuckDB,,267,1,267.0,-2.4265112613645754,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,8a,DuckDB,,51,0,51.0,-1.7075701760979363,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,8b,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,8c,DuckDB,,2,2274,1137.0,3.0557604646877348,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,8d,DuckDB,,2,2274,1137.0,3.0557604646877348,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,9a,DuckDB,,2,9,4.5,0.6532125137753437,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,9b,DuckDB,,7,0,7.0,-0.8450980400142569,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,9c,DuckDB,,1,227,227.0,2.3560258571931225,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,9d,DuckDB,,1,227,227.0,2.3560258571931225,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,10a,DuckDB,,1,592,592.0,2.77232170672292,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,10b,DuckDB,,1,592,592.0,2.77232170672292,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,10c,DuckDB,,1,7105,7105.0,3.8515640822634887,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,11a,DuckDB,,7,0,7.0,-0.8450980400142569,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,11b,DuckDB,,1,0,1.0,0.0,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,11c,DuckDB,,11,166,15.090909090909092,1.17871540288183,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,11d,DuckDB,,1,166,166.0,2.220108088040055,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,12a,DuckDB,,160,4,40.0,-1.6020599913279623,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,12b,DuckDB,,66782,123,542.9430894308944,-2.734754309807216,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,12c,DuckDB,,3029,4,757.25,-2.8792392820048933,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,13a,DuckDB,,911539,87,10477.459770114943,-4.020256001965855,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,13b,DuckDB,,152350,17,8961.764705882353,-3.9523935371804186,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,13c,DuckDB,,141799,17,8341.117647058823,-3.921224246732432,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,13d,DuckDB,,911539,87,10477.459770114943,-4.020256001965855,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,14a,DuckDB,,22362,109,205.1559633027523,-2.3120841451968595,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,14b,DuckDB,,1,109,109.0,2.037426497940624,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,14c,DuckDB,,22362,21,1064.857142857143,-3.027291348403564,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,15a,DuckDB,,42149,484,87.08471074380165,-1.9399419136476947,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,15b,DuckDB,,9,3,3.0,-0.4771212547196625,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,15c,DuckDB,,3,2422,807.3333333333334,2.907052884087371,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,15d,DuckDB,,9882307,2422,4080.2258464079273,-3.610684202583539,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,16a,DuckDB,,3334,3,1111.3333333333333,-3.045844340772324,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,16b,DuckDB,,4368,17,256.94117647058823,-2.409833708318407,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,16c,DuckDB,,25712,3,8570.666666666666,-3.933014604699607,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,16d,DuckDB,,7342,3,2447.3333333333335,-3.3886931254483055,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,17a,DuckDB,,1868,22,84.9090909090909,-1.9289541910718684,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,17b,DuckDB,,2,1489,744.5,2.871864702088195,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,17c,DuckDB,,1,1489,1489.0,3.1728946977521764,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,17d,DuckDB,,14,1489,106.35714285714286,2.026766662073938,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,17e,DuckDB,,34786,112,310.5892857142857,-2.4921864699520326,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,17f,DuckDB,,14,1489,106.35714285714286,2.026766662073938,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,18a,DuckDB,,1,97845,97845.0,4.990538637578169,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,18b,DuckDB,,1768,156,11.333333333333334,-1.0543576623225928,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,18c,DuckDB,,7,19569,2795.5714285714284,3.446470593227893,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,19a,DuckDB,,1,2,2.0,0.3010299956639812,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,19b,DuckDB,,4,0,4.0,-0.6020599913279624,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,19c,DuckDB,,4662,11,423.8181818181818,-2.627179584026333,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,19d,DuckDB,,47239,55,858.8909090909091,-2.933938005986635,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,20a,DuckDB,,1,4837,4837.0,3.6845760873884554,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,20b,DuckDB,,1,967,967.0,2.9854264740830017,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,20c,DuckDB,,22,4837,219.86363636363637,2.342153406566249,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,21a,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,21b,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,21c,DuckDB,,49,0,49.0,-1.6901960800285136,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,22a,DuckDB,,11131,10,1113.1,-3.0465341827509693,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,22b,DuckDB,,11057,10,1105.7,-3.0436373095925706,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,22c,DuckDB,,11131,10,1113.1,-3.0465341827509693,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,22d,DuckDB,,29467,51,577.7843137254902,-2.7617657470011925,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,23a,DuckDB,,486605,298,1632.9026845637584,-3.212960303036533,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,23b,DuckDB,,2766,11,251.45454545454547,-2.400459490615067,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,23c,DuckDB,,486605,298,1632.9026845637584,-3.212960303036533,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,24a,DuckDB,,1,15,15.0,1.1760912590556813,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,24b,DuckDB,,1,0,1.0,0.0,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,25a,DuckDB,,19447,0,19447.0,-4.288852614199747,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,25b,DuckDB,,9745,0,9745.0,-3.98878184345364,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,25c,DuckDB,,18,27074,1504.111111111111,3.1772799194737447,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,26a,DuckDB,,7,154,22.0,1.3424226808222062,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,26b,DuckDB,,2,154,77.0,1.8864907251724818,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,26c,DuckDB,,22,774,35.18181818181818,1.5463182798606863,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,27a,DuckDB,,4,0,4.0,-0.6020599913279624,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,27b,DuckDB,,4,0,4.0,-0.6020599913279624,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,27c,DuckDB,,29,0,29.0,-1.462397997898956,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,28a,DuckDB,,4125,1,4125.0,-3.6154239528859438,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,28b,DuckDB,,252,1,252.0,-2.401400540781544,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,28c,DuckDB,,6974,1,6974.0,-3.843481943039958,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,29a,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,29b,DuckDB,,1,0,1.0,0.0,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,29c,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,30a,DuckDB,,14,665,47.5,1.6766936096248666,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,30b,DuckDB,,14,665,47.5,1.6766936096248666,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,30c,DuckDB,,14,3326,237.57142857142858,2.3757942092052624,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,31a,DuckDB,,14,12734,909.5714285714286,2.958836809849585,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,31b,DuckDB,,7,509,72.71428571428571,1.8616197423225018,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,31c,DuckDB,,28,25469,909.6071428571429,2.958853862070248,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,32a,DuckDB,,1,16,16.0,1.2041199826559248,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,32b,DuckDB,,1,16,16.0,1.2041199826559248,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB,33a,DuckDB,,319,0,319.0,-2.503790683057181,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,33b,DuckDB,,495,0,495.0,-2.694605198933569,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB,33c,DuckDB,,2919,0,2919.0,-3.4652340949880145,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,01,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,02,DuckDB,,1,0,1.0,0.0,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,03,DuckDB,,3,0,3.0,-0.4771212547196625,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,04,DuckDB,,3,0,3.0,-0.4771212547196625,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,05,DuckDB,,1712,12883,7.525116822429907,0.8765132464509777,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,06,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,07,DuckDB,,2,0,2.0,-0.3010299956639812,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,08,DuckDB,,146214,665,219.87067669172933,-2.342167313034546,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,09,DuckDB,,6800,0,6800.0,-3.832508912706236,under,True
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,10,DuckDB,,32,253594,7924.8125,3.8989889956621977,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,11,DuckDB,,7039391,205739,34.21515123530298,-1.5342184639732006,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,12,DuckDB,,32,20606,643.9375,2.808843717169853,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,13,DuckDB,,310,14360,46.32258064516129,1.6657927460720088,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,14,DuckDB,,17,1123,66.05882352941177,1.819930834883184,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,15,DuckDB,,1235222,479,2578.7515657620042,-3.4114095046754755,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,16,DuckDB,,1,97845,97845.0,4.990538637578169,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,17,DuckDB,,79266553,517871,153.06235143500987,-2.184868380935189,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,18,DuckDB,,3,479,159.66666666666666,2.2032142586949006,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,19,DuckDB,,13995,130759,9.343265451947124,0.9704986877835549,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,20,DuckDB,,339,1,339.0,-2.530199698203082,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,21,DuckDB,,660,3237826,4905.796969696969,3.6907095706202986,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,22,DuckDB,,228,436919340,1916312.894736842,6.282466421946658,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,23,DuckDB,,7,7950,1135.7142857142858,3.0552690886422136,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,24,DuckDB,,145,1053766,7267.351724137931,3.8613761796174746,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,25,DuckDB,,24,532746,22197.75,4.346308955887305,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,26,DuckDB,,384650,17,22626.470588235294,-4.3546168153954925,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,27,DuckDB,,2,2,1.0,0.0,exact,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,28,DuckDB,,36344,59,616.0,-2.7895807121644256,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,29,DuckDB,,1,1590,1590.0,3.2013971243204513,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Complex,30,DuckDB,,2,2,1.0,0.0,exact,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,01,PostgreSQL,,144,354,2.4583333333333335,0.3906407699305382,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,02,PostgreSQL,,1,1,1.0,0.0,exact,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,03,PostgreSQL,,131,334,2.549618320610687,0.40647517115580023,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,04,PostgreSQL,,1,29,29.0,1.462397997898956,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,05,PostgreSQL,,44,281,6.386363636363637,0.8052536434188925,over,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,06,PostgreSQL,,43131219,31978714,1.3487477639032013,-0.1299307376722048,under,False
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,07,PostgreSQL,,43131219,31978714,1.3487477639032013,-0.1299307376722048,under,False
