dataset,query_mode,workload,query_id,method,seed,actual_runtime,predicted_value,q_error,signed_log10_error,bias,prediction_policy
Hollywood200K,balanced_duckdb_pg_200k,JOB,1a,PostgreSQL cost,,37.121,438.36079331468966,11.808970483410729,1.072212037083197,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,1b,PostgreSQL cost,,2.07,231.01922798758557,111.60349178144232,2.047677782752896,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,1c,PostgreSQL cost,,44.721,449.99582878330114,10.06229352615776,1.0026969819353948,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,1d,PostgreSQL cost,,45.157,453.33588272603976,10.039105403947113,1.0016950140600531,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,2a,PostgreSQL cost,,489.347,128.2716842761318,3.8149261293441628,-0.5814861328731247,under,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,2b,PostgreSQL cost,,102.897,128.10496628406472,1.2449825192577502,0.09516325356573392,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,2c,PostgreSQL cost,,522.077,128.3618629517455,4.067228287238726,-0.609298549366874,under,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,2d,PostgreSQL cost,,90.14,128.2716842761318,1.423027338319634,0.15321324356096286,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,3a,PostgreSQL cost,,64.997,141.07480505691467,2.170481792342949,0.3365561469965789,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,3b,PostgreSQL cost,,841.821,2508.752878743897,2.9801500304030153,0.47423812841719587,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,3c,PostgreSQL cost,,53.63,140.8576346780505,2.6264709057999345,0.41937259435651675,over,total_cost_scaled_by_workload_logmean_runtime
Hollywood200K,balanced_duckdb_pg_200k,JOB,4a,PostgreSQL cost,,1042.847,433.75823791335876,2.404212551712514,-0.38097286015069737,under,total_cost_scaled_by_workload_logmean_runtime
