dataset,query_mode,workload,method,subplan_query_id,source_workload,source_query_id,node_id,parent_id,depth,node_type,join_type,relation_name,alias,aliases,tables,table_count,plan_rows,actual_rows_per_loop,actual_loops,actual_total_rows,postgres_q_error_per_loop,postgres_q_error_total,logical_count,label_source,count_ms,count_error,sql_hash,sql_path,actual_cardinality,estimated_cardinality,q_error,signed_log10_error,bias
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00001,job_light,01,01:0002,01:0001,1,Nested Loop,Inner,,,mc mi_idx t,movie_companies movie_info_idx title,3,354.0,144.0,1.0,144.0,2.4583333333333335,2.4583333333333335,144,exact_logical_count,186.847,,d30a8c944ff9286ee3450dd07de933bcc9bdf7f8179587ff6ee84f7a9f1d5ba9,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00001.sql,144,354.0,2.4583333333333335,0.3906407699305382,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00002,job_light,01,01:0003,01:0002,2,Hash Join,Inner,,,mi_idx t,movie_info_idx title,2,469.0,250.0,1.0,250.0,1.876,1.876,250,exact_logical_count,19.538,,32fa34b1f991c762ba1b0b310cc0f4e21e8f2312c97e7fbb243025a1595e361a,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00002.sql,250,469.0,1.876,0.2732328340430456,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00003,job_light,01,01:0004,01:0003,3,Seq Scan,,title,t,t,title,1,351455.0,351455.0,1.0,351455.0,1.0,1.0,351455,exact_logical_count,15.473,,c7b30a7564273ee9a8a33d85d3f24cd9df05a65bdfaa539609723d98f3b8c470,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00003.sql,351455,351455.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00004,job_light,01,01:0006,01:0005,4,Index Scan,,movie_info_idx,mi_idx,mi_idx,movie_info_idx,1,469.0,250.0,1.0,250.0,1.876,1.876,250,exact_logical_count,0.396,,d7bfd4ca59c7335508d349725277996cc05ebcffe2804c54540dd8456503fe16,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00004.sql,250,469.0,1.876,0.2732328340430456,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00005,job_light,01,01:0007,01:0002,2,Index Scan,,movie_companies,mc,mc,movie_companies,1,1.0,1.0,250.0,250.0,1.0,250.0,265475,exact_logical_count,11.447,,b0280a33c5f57a539d830ec9ebb571111ffd2175f66f38b7f4ab287af9841bc6,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00005.sql,265475,1.0,265475.0,-5.424023629473025,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00006,job_light,02,02:0002,02:0001,1,Nested Loop,Inner,,,mc mi_idx t,movie_companies movie_info_idx title,3,1.0,1.0,1.0,1.0,1.0,1.0,1,exact_logical_count,3.517,,3f258c2f8274366191d340c5046619e10ecf0998a662fcda3683df03e2e458ea,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00006.sql,1,1.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00007,job_light,02,02:0003,02:0002,2,Hash Join,Inner,,,mi_idx t,movie_info_idx title,2,1.0,1.0,1.0,1.0,1.0,1.0,1,exact_logical_count,2.788,,b6941c8a654b9a27bc01af62ac01d3999baeeb4690507c5d6843e6c70e2595e5,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00007.sql,1,1.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00008,job_light,02,02:0004,02:0003,3,Index Scan,,title,t,t,title,1,2577.0,2298.0,1.0,2298.0,1.1214099216710183,1.1214099216710183,2298,exact_logical_count,0.455,,65dcc4c11d3e83a18d81773a49b694367ebd4903e8ba08011014e96858151411,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00008.sql,2298,2577.0,1.1214099216710183,0.049764394198638366,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00009,job_light,02,02:0006,02:0005,4,Index Scan,,movie_info_idx,mi_idx,mi_idx,movie_info_idx,1,23.0,10.0,1.0,10.0,2.3,2.3,10,exact_logical_count,0.27,,885c78ab9adf29c01667b27e7ab7440081f508047c5656044b6951f88709d336,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00009.sql,10,23.0,2.3,0.36172783601759284,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00010,job_light,02,02:0007,02:0002,2,Index Scan,,movie_companies,mc,mc,movie_companies,1,2.0,1.0,1.0,1.0,2.0,2.0,511623,exact_logical_count,21.066,,100e3f41ab623b9f469a11961808e9ddfcfbda45a4508bb3a4e769349bfe8286,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00010.sql,511623,2.0,255811.5,-5.40792006427977,under
