dataset,query_mode,workload,method,subplan_query_id,source_workload,source_query_id,node_id,parent_id,depth,node_type,join_type,relation_name,alias,aliases,tables,table_count,plan_rows,actual_rows_per_loop,actual_loops,actual_total_rows,postgres_q_error_per_loop,postgres_q_error_total,logical_count,label_source,count_ms,count_error,sql_hash,sql_path,actual_cardinality,estimated_cardinality,q_error,signed_log10_error,bias
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00011,job_light,03,03:0002,03:0001,1,Nested Loop,Inner,,,mc mi_idx t,movie_companies movie_info_idx title,3,334.0,131.0,1.0,131.0,2.549618320610687,2.549618320610687,131,exact_logical_count,28.377,,1acbb9e4292219eb210d596f44f55225e5e780a20681b86ed5ba9f7770aee260,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00011.sql,131,334.0,2.549618320610687,0.40647517115580023,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00012,job_light,03,03:0003,03:0002,2,Hash Join,Inner,,,mi_idx t,movie_info_idx title,2,443.0,221.0,1.0,221.0,2.004524886877828,2.004524886877828,221,exact_logical_count,27.908,,913b0811aedb13fbf8d9252a1bca8cf4fd138a062e4c0c9211bdd16940c25260,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00012.sql,221,443.0,2.004524886877828,0.30201145253795886,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00013,job_light,03,03:0004,03:0003,3,Seq Scan,,title,t,t,title,1,332113.0,332500.0,1.0,332500.0,1.0011652660389687,1.0011652660389687,332500,exact_logical_count,13.221,,a491fd8c63531b4249cf7fd18cec53b0dfa93811f28f731311a972f639c1aee8,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00013.sql,332500,332113.0,1.0011652660389687,-0.0005057739872449103,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00014,job_light,03,03:0006,03:0005,4,Index Scan,,movie_info_idx,mi_idx,mi_idx,movie_info_idx,1,469.0,250.0,1.0,250.0,1.876,1.876,250,exact_logical_count,0.396,,d7bfd4ca59c7335508d349725277996cc05ebcffe2804c54540dd8456503fe16,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00014.sql,250,469.0,1.876,0.2732328340430456,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00015,job_light,03,03:0007,03:0002,2,Index Scan,,movie_companies,mc,mc,movie_companies,1,1.0,1.0,221.0,221.0,1.0,221.0,265475,exact_logical_count,11.447,,b0280a33c5f57a539d830ec9ebb571111ffd2175f66f38b7f4ab287af9841bc6,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00015.sql,265475,1.0,265475.0,-5.424023629473025,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00016,job_light,04,04:0002,04:0001,1,Hash Join,Inner,,,mc mi_idx t,movie_companies movie_info_idx title,3,29.0,1.0,1.0,1.0,29.0,29.0,1,exact_logical_count,26.644,,fd6b2a1fdec9bfadf35619ad577eff121f6b8184e61f7b727fcaa180a2f60688,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00016.sql,1,29.0,29.0,1.462397997898956,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00017,job_light,04,04:0003,04:0002,2,Seq Scan,,title,t,t,title,1,304489.0,304849.0,1.0,304849.0,1.001182308720512,1.001182308720512,304849,exact_logical_count,11.93,,2136996027a9fcf7e3eab40794e87f6b827eb6e3a8d29d14b6677f24b6e2f444,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00017.sql,304849,304489.0,1.001182308720512,-0.0005131668521446787,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00018,job_light,04,04:0005,04:0004,3,Nested Loop,Inner,,,mc mi_idx,movie_companies movie_info_idx,2,34.0,15.0,1.0,15.0,2.2666666666666666,2.2666666666666666,5116230,exact_logical_count,20.273,,29a6a96667e275dc004126b5c93191c1aa471861c36087cb2eb637247be58fa5,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00018.sql,5116230,34.0,150477.35294117648,-5.177471142901496,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00019,job_light,04,04:0006,04:0005,4,Index Scan,,movie_info_idx,mi_idx,mi_idx,movie_info_idx,1,23.0,10.0,1.0,10.0,2.3,2.3,10,exact_logical_count,0.27,,885c78ab9adf29c01667b27e7ab7440081f508047c5656044b6951f88709d336,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00019.sql,10,23.0,2.3,0.36172783601759284,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00020,job_light,04,04:0007,04:0005,4,Index Scan,,movie_companies,mc,mc,movie_companies,1,2.0,2.0,10.0,20.0,1.0,10.0,511623,exact_logical_count,21.066,,100e3f41ab623b9f469a11961808e9ddfcfbda45a4508bb3a4e769349bfe8286,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00020.sql,511623,2.0,255811.5,-5.40792006427977,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00021,job_light,05,05:0002,05:0001,1,Hash Join,Inner,,,mc mk t,movie_companies movie_keyword title,3,281.0,44.0,1.0,44.0,6.386363636363637,6.386363636363637,44,exact_logical_count,23.013,,52e3e5be6b2818c8b79e61644c14f35de32a3b19d76ee78622509f109905d4a0,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00021.sql,44,281.0,6.386363636363637,0.8052536434188925,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00022,job_light,05,05:0003,05:0002,2,Seq Scan,,title,t,t,title,1,351455.0,351455.0,1.0,351455.0,1.0,1.0,351455,exact_logical_count,15.473,,c7b30a7564273ee9a8a33d85d3f24cd9df05a65bdfaa539609723d98f3b8c470,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00022.sql,351455,351455.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00023,job_light,05,05:0005,05:0004,3,Nested Loop,Inner,,,mc mk,movie_companies movie_keyword,2,301.0,44.0,1.0,44.0,6.840909090909091,6.840909090909091,17096156,exact_logical_count,59.529,,214fd58cffdadb3e251b53f9f10d7f38155b78739559df9975e47f8c3d49f8a6,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00023.sql,17096156,301.0,56797.86046511628,-4.754331976455833,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00024,job_light,05,05:0006,05:0005,4,Index Scan,,movie_keyword,mk,mk,movie_keyword,1,127.0,22.0,1.0,22.0,5.7727272727272725,5.7727272727272725,22,exact_logical_count,0.444,,05f3886ceda755c3828b8b0dda20556dd2cf22a616a4235f10e01dfb191ba972,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00024.sql,22,127.0,5.7727272727272725,0.7613810401337506,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00025,job_light,05,05:0007,05:0005,4,Index Only Scan,,movie_companies,mc,mc,movie_companies,1,2.0,2.0,22.0,44.0,1.0,22.0,777098,exact_logical_count,29.108,,c9df25b5c60f40ed74485be44aabbd04b7f2ec90c65772e7b6453a2bfe65956f,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00025.sql,777098,2.0,388549.0,-5.589445795563489,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00026,job_light,06,06:0002,06:0001,1,Hash Join,Inner,,,mi mk t,movie_info movie_keyword title,3,31978714.0,43131219.0,1.0,43131219.0,1.3487477639032013,1.3487477639032013,43131219,exact_logical_count,3186.51,,3019434e62f494538dec31b1072c38b8d0905bd6ee326031e4d45a7ae0c80050,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00026.sql,43131219,31978714.0,1.3487477639032013,-0.1299307376722048,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00027,job_light,06,06:0003,06:0002,2,Seq Scan,,movie_info,mi,mi,movie_info,1,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,1.0005416008451868,5392497,exact_logical_count,200.215,,187468d93c783573cbd8203504090046dd1973a4a6e5bab8aa092bd7d2c10c7a,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00027.sql,5392497,5389578.0,1.0005416008451868,-0.00023515058532739958,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00028,job_light,06,06:0005,06:0004,3,Hash Join,Inner,,,mk t,movie_keyword title,2,2085336.0,2081736.0,1.0,2081736.0,1.0017293259087607,1.0017293259087607,2081736,exact_logical_count,448.458,,f2703e6eaadf8e0ddef1b1195aeae44f5645824ae3290d45f2a9c18a02f8f98b,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00028.sql,2081736,2085336.0,1.0017293259087607,0.0007503880536813798,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00029,job_light,06,06:0006,06:0005,4,Seq Scan,,movie_keyword,mk,mk,movie_keyword,1,2095957.0,2095957.0,1.0,2095957.0,1.0,1.0,2095957,exact_logical_count,72.49,,7cbc8d9a1fd8f41601d544f5aa8b2e75d34c94b8b2be08b210da1f1ef487ce56,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00029.sql,2095957,2095957.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00030,job_light,06,06:0008,06:0007,5,Seq Scan,,title,t,t,title,1,349674.0,349934.0,1.0,349934.0,1.000743549706298,1.000743549706298,349934,exact_logical_count,13.907,,093b33cdbba7e6093b8d4817a94149102a4f073e2611685d72ef70fddd86d948,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00030.sql,349934,349674.0,1.000743549706298,-0.00032279954058071737,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00031,job_light,07,07:0002,07:0001,1,Hash Join,Inner,,,mi mk t,movie_info movie_keyword title,3,31978714.0,43131219.0,1.0,43131219.0,1.3487477639032013,1.3487477639032013,43131219,exact_logical_count,3186.51,,3019434e62f494538dec31b1072c38b8d0905bd6ee326031e4d45a7ae0c80050,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00031.sql,43131219,31978714.0,1.3487477639032013,-0.1299307376722048,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00032,job_light,07,07:0003,07:0002,2,Seq Scan,,movie_info,mi,mi,movie_info,1,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,1.0005416008451868,5392497,exact_logical_count,200.215,,187468d93c783573cbd8203504090046dd1973a4a6e5bab8aa092bd7d2c10c7a,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00032.sql,5392497,5389578.0,1.0005416008451868,-0.00023515058532739958,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00033,job_light,07,07:0005,07:0004,3,Hash Join,Inner,,,mk t,movie_keyword title,2,2085336.0,2081736.0,1.0,2081736.0,1.0017293259087607,1.0017293259087607,2081736,exact_logical_count,448.458,,f2703e6eaadf8e0ddef1b1195aeae44f5645824ae3290d45f2a9c18a02f8f98b,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00033.sql,2081736,2085336.0,1.0017293259087607,0.0007503880536813798,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00034,job_light,07,07:0006,07:0005,4,Seq Scan,,movie_keyword,mk,mk,movie_keyword,1,2095957.0,2095957.0,1.0,2095957.0,1.0,1.0,2095957,exact_logical_count,72.49,,7cbc8d9a1fd8f41601d544f5aa8b2e75d34c94b8b2be08b210da1f1ef487ce56,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00034.sql,2095957,2095957.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00035,job_light,07,07:0008,07:0007,5,Seq Scan,,title,t,t,title,1,349674.0,349934.0,1.0,349934.0,1.000743549706298,1.000743549706298,349934,exact_logical_count,13.907,,093b33cdbba7e6093b8d4817a94149102a4f073e2611685d72ef70fddd86d948,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00035.sql,349934,349674.0,1.000743549706298,-0.00032279954058071737,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00036,job_light,08,08:0002,08:0001,1,Hash Join,Inner,,,mi mk t,movie_info movie_keyword title,3,31185912.0,41293544.0,1.0,41293544.0,1.324108911741943,1.324108911741943,41293544,exact_logical_count,2943.043,,15ccb06a1e89cf3a0e1552f3f8daefba115167607b0e98e9e3341df5160f84fd,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00036.sql,41293544,31185912.0,1.324108911741943,-0.12192370853511345,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00037,job_light,08,08:0003,08:0002,2,Seq Scan,,movie_info,mi,mi,movie_info,1,5389578.0,5392497.0,1.0,5392497.0,1.0005416008451868,1.0005416008451868,5392497,exact_logical_count,200.215,,187468d93c783573cbd8203504090046dd1973a4a6e5bab8aa092bd7d2c10c7a,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00037.sql,5392497,5389578.0,1.0005416008451868,-0.00023515058532739958,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00038,job_light,08,08:0005,08:0004,3,Hash Join,Inner,,,mk t,movie_keyword title,2,2033637.0,2002263.0,1.0,2002263.0,1.0156692702207453,1.0156692702207453,2002263,exact_logical_count,444.697,,daa990e2a18d8eb3bb7a6fba4dc8b16949c93ce155a75cbf3b9e3de5823dcd6d,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00038.sql,2002263,2033637.0,1.0156692702207453,0.006752312769555741,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00039,job_light,08,08:0006,08:0005,4,Seq Scan,,movie_keyword,mk,mk,movie_keyword,1,2095957.0,2095957.0,1.0,2095957.0,1.0,1.0,2095957,exact_logical_count,72.49,,7cbc8d9a1fd8f41601d544f5aa8b2e75d34c94b8b2be08b210da1f1ef487ce56,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00039.sql,2095957,2095957.0,1.0,0.0,exact
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00040,job_light,08,08:0008,08:0007,5,Seq Scan,,title,t,t,title,1,341005.0,341478.0,1.0,341478.0,1.0013870764358295,1.0013870764358295,341478,exact_logical_count,13.671,,b8f12e0a96c13fddd97f0d837f028e0aa2eaea0ff61d60a2685a4f96e6ccb07d,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00040.sql,341478,341005.0,1.0013870764358295,-0.0006019822408182124,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00041,job_light,09,09:0002,09:0001,1,Nested Loop,Inner,,,mi_idx mk t,movie_info_idx movie_keyword title,3,131.0,48.0,1.0,48.0,2.7291666666666665,2.7291666666666665,48,exact_logical_count,29.499,,5f0994aed99ee7db06b993b085cd10fa0b59adbba97f6b77ab70b3986d1673d3,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00041.sql,48,131.0,2.7291666666666665,0.43603005828017705,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00042,job_light,09,09:0003,09:0002,2,Hash Join,Inner,,,mi_idx t,movie_info_idx title,2,22.0,9.0,1.0,9.0,2.4444444444444446,2.4444444444444446,9,exact_logical_count,27.418,,115296ea375a79a54349ebc06aa5d07daf4a03fd04f03c3ee1b6c7d9073c6b77,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00042.sql,9,22.0,2.4444444444444446,0.3881801713828814,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00043,job_light,09,09:0004,09:0003,3,Seq Scan,,title,t,t,title,1,341005.0,341478.0,1.0,341478.0,1.0013870764358295,1.0013870764358295,341478,exact_logical_count,13.671,,b8f12e0a96c13fddd97f0d837f028e0aa2eaea0ff61d60a2685a4f96e6ccb07d,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00043.sql,341478,341005.0,1.0013870764358295,-0.0006019822408182124,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00044,job_light,09,09:0006,09:0005,4,Index Scan,,movie_info_idx,mi_idx,mi_idx,movie_info_idx,1,23.0,10.0,1.0,10.0,2.3,2.3,10,exact_logical_count,0.27,,885c78ab9adf29c01667b27e7ab7440081f508047c5656044b6951f88709d336,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00044.sql,10,23.0,2.3,0.36172783601759284,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00045,job_light,09,09:0007,09:0002,2,Index Only Scan,,movie_keyword,mk,mk,movie_keyword,1,9.0,5.0,9.0,45.0,1.8,5.0,2095957,exact_logical_count,72.49,,7cbc8d9a1fd8f41601d544f5aa8b2e75d34c94b8b2be08b210da1f1ef487ce56,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00045.sql,2095957,9.0,232884.11111111112,-5.367139859113641,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00046,job_light,10,10:0002,10:0001,1,Nested Loop,Inner,,,mi_idx mk t,movie_info_idx movie_keyword title,3,131.0,48.0,1.0,48.0,2.7291666666666665,2.7291666666666665,48,exact_logical_count,27.406,,6c3707f09e746b8987740ed08a2b9edb6641079718184c4890c5ebad22d62b2a,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00046.sql,48,131.0,2.7291666666666665,0.43603005828017705,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00047,job_light,10,10:0003,10:0002,2,Hash Join,Inner,,,mi_idx t,movie_info_idx title,2,22.0,9.0,1.0,9.0,2.4444444444444446,2.4444444444444446,9,exact_logical_count,27.707,,daa5198934c1ea319f5161a3aede3aa20efc66e009ad333d2532eead9ede9e14,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00047.sql,9,22.0,2.4444444444444446,0.3881801713828814,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00048,job_light,10,10:0004,10:0003,3,Seq Scan,,title,t,t,title,1,332113.0,332500.0,1.0,332500.0,1.0011652660389687,1.0011652660389687,332500,exact_logical_count,13.221,,a491fd8c63531b4249cf7fd18cec53b0dfa93811f28f731311a972f639c1aee8,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00048.sql,332500,332113.0,1.0011652660389687,-0.0005057739872449103,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00049,job_light,10,10:0006,10:0005,4,Index Scan,,movie_info_idx,mi_idx,mi_idx,movie_info_idx,1,23.0,10.0,1.0,10.0,2.3,2.3,10,exact_logical_count,0.27,,885c78ab9adf29c01667b27e7ab7440081f508047c5656044b6951f88709d336,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00049.sql,10,23.0,2.3,0.36172783601759284,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00050,job_light,10,10:0007,10:0002,2,Index Only Scan,,movie_keyword,mk,mk,movie_keyword,1,9.0,5.0,9.0,45.0,1.8,5.0,2095957,exact_logical_count,72.49,,7cbc8d9a1fd8f41601d544f5aa8b2e75d34c94b8b2be08b210da1f1ef487ce56,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00050.sql,2095957,9.0,232884.11111111112,-5.367139859113641,under
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00051,job_light,11,11:0002,11:0001,1,Nested Loop,Inner,,,mi_idx mk t,movie_info_idx movie_keyword title,3,137.0,57.0,1.0,57.0,2.4035087719298245,2.4035087719298245,57,exact_logical_count,28.639,,9a228e35d9d25805297c67d30ed7da5586412b5c1f261a7e12de8170e9918a3b,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00051.sql,57,137.0,2.4035087719298245,0.38084571148391533,over
Hollywood200K,balanced_duckdb_pg_200k,JOB-Light,PostgreSQL intermediate logical,job_light_node_00052,job_light,11,11:0003,11:0002,2,Hash Join,Inner,,,mi_idx t,movie_info_idx title,2,23.0,10.0,1.0,10.0,2.3,2.3,10,exact_logical_count,28.028,,5561854f40e9de8bfe9319e79fb3c0376eb320834ab16cc0daec3d48489f1047,experiments/paper_results/source_candidate/postgres_logical_subplans/job_light/queries/job_light_node_00052.sql,10,23.0,2.3,0.36172783601759284,over
