dataset,workload,method,n,query_count,q_mean,q_median,q_p90,q_p95,q_p99,q_max,over_frac,under_frac
Hollywood200K,JOB,DuckDB,629,113,6226.157075104784,2.2297329363569207,816.7066666666698,3600.0,240000.0,539249.5,0.56120826709062,0.2972972972972973
Hollywood200K,JOB,PostgreSQL,629,113,17.992059298713947,1.0,2.0,22.0,161.0,1931.0526315789473,0.20349761526232116,0.23370429252782193
Hollywood200K,JOB-Complex,DuckDB,192,30,10289.754098840946,2.281533134845127,427.59000000000043,1248.2670454545414,245108.85000000018,1078499.0,0.5729166666666666,0.2916666666666667
Hollywood200K,JOB-Complex,PostgreSQL,192,30,8.543213521923755,1.0,5.0,48.0,164.4156097560977,200.9387755102041,0.21354166666666666,0.2552083333333333
Hollywood200K,JOB-Light,DuckDB,157,70,3643.828395481905,4.858061487245878,14907.204000000193,35158.5,35158.5,35158.5,0.3630573248407643,0.6369426751592356
Hollywood200K,JOB-Light,PostgreSQL,157,70,1.3604761074091969,1.0070497816986992,2.3,2.3,5.7727272727272725,21.166666666666668,0.5414012738853503,0.4585987261146497
