dataset,workload,table_count,node_type,n,q_mean,q_median,q_p90,q_p95,q_p99,q_max,over_frac,under_frac
Hollywood200K,JOB,1,Bitmap Heap Scan,59,4889.928186993611,4.000011377082006,4571.164705882353,6071.470457516254,105280.20000000027,200000.0,0.15254237288135594,0.7796610169491526
Hollywood200K,JOB,1,Index Only Scan,10,111595.9,73735.0,199938.0,199938.0,199938.0,199938.0,0.0,1.0
Hollywood200K,JOB,1,Index Scan,348,183139.36434835315,223355.0,388549.0,388549.0,457643.0,480000.0,0.028735632183908046,0.9396551724137931
Hollywood200K,JOB,1,Seq Scan,560,2.73913933628879,1.0,1.1491927189119493,2.0,47.40999999999997,140.77777777777777,0.09285714285714286,0.10357142857142858
Hollywood200K,JOB,2,Hash Join,8,1.888096982101511,1.1787942551384605,3.2147874012372317,3.9818165999722623,4.595439958960288,4.748845798707294,0.125,0.875
Hollywood200K,JOB,2,Nested Loop,115,511.46302872293194,9.857142857142858,250.20000000000124,1515.15625,2812.7,36690.0,0.30434782608695654,0.6521739130434783
Hollywood200K,JOB,3,Hash Join,64,804.7132390468119,21.3689340535262,331.2753681392236,1515.15625,16078.919999999916,36690.0,0.234375,0.75
Hollywood200K,JOB,3,Nested Loop,39,958.5238348733834,8.35858377082386,1530.8333333333355,4412.236363636379,13957.636363636364,13957.636363636364,0.2564102564102564,0.6410256410256411
Hollywood200K,JOB,4,Hash Join,43,817.9514328232365,49.77600796416127,394.1636363636366,2115.3068181818153,13957.636363636364,13957.636363636364,0.16279069767441862,0.8372093023255814
Hollywood200K,JOB,4,Nested Loop,70,798.3164957135286,18.623362851953118,516.8117647058831,1295.6869832840505,16176.990000000067,36690.0,0.18571428571428572,0.7285714285714285
Hollywood200K,JOB,5,Hash Join,56,200.5936538560618,25.076923076923077,511.33333333333337,1210.7189146469968,2040.9558333333348,2304.25,0.3392857142857143,0.625
Hollywood200K,JOB,5,Nested Loop,54,5349.080640305584,50.77528716404595,16008.800000000041,37769.14999999992,68848.49999999999,73380.0,0.05555555555555555,0.8888888888888888
Hollywood200K,JOB,6,Hash Join,41,651.6524074250117,24.5,3317.3333333333335,3335.0,4688.300000000003,5590.5,0.17073170731707318,0.7804878048780488
Hollywood200K,JOB,6,Nested Loop,49,5876.7260258385295,35.339622641509436,6255.400000000004,32607.133333333135,106715.03999999954,162192.0,0.12244897959183673,0.7551020408163265
Hollywood200K,JOB,7,Hash Join,37,1492.4696438836788,70.67924528301887,596.8999999999993,3304.6666666666224,28179.440000000017,37508.0,0.2702702702702703,0.7297297297297297
Hollywood200K,JOB,7,Nested Loop,51,12253.823475319496,14.355029585798816,9844.5,23265.0,258103.0,405540.0,0.0196078431372549,0.803921568627451
Hollywood200K,JOB,8,Hash Join,17,6251.514347259887,154.84615384615384,22362.0,23031.999999999996,25176.0,25712.0,0.17647058823529413,0.8235294117647058
Hollywood200K,JOB,8,Nested Loop,55,20446.717703797287,14.0,11228.3,16533.799999999996,483857.2000000008,992602.0,0.03636363636363636,0.8545454545454545
Hollywood200K,JOB,9,Hash Join,19,2025.0026229591458,36.74594327274891,4248.62264150943,10715.199999999979,17700.640000000003,19447.0,0.10526315789473684,0.8421052631578947
Hollywood200K,JOB,9,Nested Loop,32,20859.646366567744,8.0,19689.0,51442.299999999996,352068.41000000056,486605.0,0.0,0.9375
Hollywood200K,JOB,10,Hash Join,12,210.5076003901162,22.0,593.1500000000001,910.353571428571,1205.499285714286,1279.2857142857142,0.08333333333333333,0.8333333333333334
Hollywood200K,JOB,10,Nested Loop,25,26464.76,14.0,22132.600000000028,83750.19999999981,393176.8399999992,486605.0,0.0,0.88
Hollywood200K,JOB,11,Hash Join,2,52427.5,52427.5,88342.3,92831.65,96423.13,97321.0,0.0,1.0
Hollywood200K,JOB,11,Nested Loop,28,20171.465277777777,18.0,11131.0,23049.399999999972,363177.7400000002,486605.0,0.0,0.9642857142857143
Hollywood200K,JOB,12,Hash Join,2,708.0,708.0,1115.2,1166.1,1206.82,1217.0,0.0,1.0
Hollywood200K,JOB,12,Nested Loop,18,1254.8055555555557,10.5,2514.350000000005,8404.52499999999,13323.304999999988,14553.0,0.0,0.8333333333333334
Hollywood200K,JOB,13,Hash Join,1,160.0,160.0,160.0,160.0,160.0,160.0,0.0,1.0
Hollywood200K,JOB,13,Nested Loop,8,2029.8958333333333,202.5,7097.6,7241.8,7357.16,7386.0,0.0,1.0
Hollywood200K,JOB,14,Hash Join,3,622.1666666666666,247.5,1217.1000000000001,1338.3,1435.26,1459.5,0.0,1.0
Hollywood200K,JOB,14,Nested Loop,6,1881.3333333333333,91.5,5549.5,6261.75,6831.55,6974.0,0.0,1.0
Hollywood200K,JOB,15,Nested Loop,3,1.6666666666666667,2.0,2.0,2.0,2.0,2.0,0.0,0.6666666666666666
Hollywood200K,JOB,16,Hash Join,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
Hollywood200K,JOB,16,Nested Loop,2,1.5,1.5,1.9,1.95,1.99,2.0,0.0,0.5
Hollywood200K,JOB,17,Hash Join,2,1.5,1.5,1.9,1.95,1.99,2.0,0.0,0.5
Hollywood200K,JOB,17,Nested Loop,1,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0
Hollywood200K,JOB-Complex,1,Bitmap Heap Scan,16,4385.76936617913,3.021578078649683,14778.457352941175,25459.9375,26597.9875,26882.5,0.375,0.625
Hollywood200K,JOB-Complex,1,Index Only Scan,1,199938.0,199938.0,199938.0,199938.0,199938.0,199938.0,0.0,1.0
Hollywood200K,JOB-Complex,1,Index Scan,110,281495.825437633,226373.68181818182,351585.0,388549.0,4594183.009999986,4980221.0,0.0,0.990909090909091
