dataset,workload,table_count,node_type,n,q_mean,q_median,q_p90,q_p95,q_p99,q_max,over_frac,under_frac
Hollywood200K,JOB-Complex,1,Seq Scan,193,14.560857588249435,1.0,14.400000000000063,153.1999999999997,201.85034013605426,212.33333333333334,0.07772020725388601,0.20207253886010362
Hollywood200K,JOB-Complex,2,Hash Join,1,63.085286208221284,63.085286208221284,63.085286208221284,63.085286208221284,63.085286208221284,63.085286208221284,0.0,1.0
Hollywood200K,JOB-Complex,2,Nested Loop,33,47.5958701098837,12.495289223877414,157.7093023255814,162.90625,175.25494915254237,181.06610169491526,0.15151515151515152,0.7878787878787878
Hollywood200K,JOB-Complex,3,Hash Join,8,111.88083317220932,141.51729612299465,170.72902591077343,175.89756380284433,180.03239411650108,181.06610169491526,0.125,0.875
Hollywood200K,JOB-Complex,3,Nested Loop,21,43.46680349990407,7.224891387682085,153.1931818181818,174.0,211.8666666666667,221.33333333333334,0.19047619047619047,0.8095238095238095
Hollywood200K,JOB-Complex,4,Hash Join,8,78.95556498292049,40.88800398208063,177.29281102023242,227.75036590615576,268.1164098148945,278.2079207920792,0.25,0.75
Hollywood200K,JOB-Complex,4,Nested Loop,22,252151.129310936,11.884603021536483,314.6150833393668,445.3797077922077,4380830.509999995,5545235.0,0.13636363636363635,0.8181818181818182
Hollywood200K,JOB-Complex,5,Hash Join,9,4310.842435077609,79.0,8786.063492063498,22224.47619047618,32975.206349206346,35662.88888888889,0.1111111111111111,0.7777777777777778
Hollywood200K,JOB-Complex,5,Nested Loop,19,291927.00263740384,5.0,318.3216080402009,554939.2999999882,4547175.860000001,5545235.0,0.05263157894736842,0.8947368421052632
Hollywood200K,JOB-Complex,6,Hash Join,10,1277.824137435108,66.17835373094157,1639.4369999999963,6487.993499999988,10366.8387,11336.55,0.1,0.8
Hollywood200K,JOB-Complex,6,Nested Loop,20,267157.1647089975,33.53125,6413.597500000038,294616.22625000373,4303528.845249993,5305757.0,0.05,0.6
Hollywood200K,JOB-Complex,7,Hash Join,10,66335.35154948266,545.4750337381917,92201.92999999979,354820.7149999994,564915.7430000001,617439.5,0.0,0.9
Hollywood200K,JOB-Complex,7,Nested Loop,19,44575.06793465378,17.0,2419.86557377049,87849.49999999822,687656.3000000003,837608.0,0.05263157894736842,0.631578947368421
Hollywood200K,JOB-Complex,8,Hash Join,8,2203.889611872146,2288.3,4575.5150684931505,4613.449315068493,4643.796712328767,4651.3835616438355,0.125,0.875
Hollywood200K,JOB-Complex,8,Nested Loop,17,98495.53495076668,32.0,183273.13571428583,559049.9999999994,1099987.5999999999,1235222.0,0.0,0.9411764705882353
Hollywood200K,JOB-Complex,9,Hash Join,9,16667.28739588685,1759.4,34820.933333333356,81518.79999999996,118877.09333333332,128216.66666666667,0.1111111111111111,0.8888888888888888
Hollywood200K,JOB-Complex,9,Nested Loop,13,96746.02105482595,3.4444444444444446,11879.263414634152,502081.29756097385,1088593.8595121938,1235222.0,0.0,1.0
Hollywood200K,JOB-Complex,10,Hash Join,6,9656.303463203463,3695.7727272727275,25245.409090909092,30794.704545454544,35234.140909090915,36344.0,0.0,1.0
Hollywood200K,JOB-Complex,10,Nested Loop,8,5692.808022774327,2879.9463768115943,15462.8,17236.399999999998,18655.28,19010.0,0.0,1.0
Hollywood200K,JOB-Complex,11,Hash Join,8,6122.398133116883,4635.272727272728,14003.845454545455,14075.331818181818,14132.520909090908,14146.818181818182,0.0,1.0
Hollywood200K,JOB-Complex,11,Nested Loop,6,8194.602150537634,2708.0,21861.0,29102.5,34895.700000000004,36344.0,0.0,1.0
Hollywood200K,JOB-Complex,12,Hash Join,9,316710.8118607652,662.7096774193549,613772.2636363641,1681330.631818181,2535377.326363636,2748889.0,0.0,1.0
Hollywood200K,JOB-Complex,12,Nested Loop,4,5096.64705882353,2521.0,12217.311764705884,13776.949999999995,15024.66058823529,15336.588235294117,0.0,1.0
Hollywood200K,JOB-Complex,13,Hash Join,7,48727.66279220779,2799.0,148911.4477272728,200600.22386363623,241951.2447727272,252289.0,0.0,1.0
Hollywood200K,JOB-Complex,13,Nested Loop,5,1790.2259649122807,45.666666666666664,5125.705263157895,6473.852631578946,7552.370526315789,7822.0,0.0,0.8
Hollywood200K,JOB-Complex,14,Hash Join,4,556959.7997835499,170258.1590909091,1417100.9121212126,1652199.8965367961,1840279.084069264,1887298.880952381,0.0,1.0
Hollywood200K,JOB-Complex,14,Nested Loop,3,2315.0,113.0,5462.6,6131.299999999999,6666.26,6800.0,0.0,1.0
Hollywood200K,JOB-Complex,15,Nested Loop,2,1025.5,1025.5,1574.7,1643.35,1698.27,1712.0,0.0,1.0
Hollywood200K,JOB-Complex,16,Nested Loop,1,1712.0,1712.0,1712.0,1712.0,1712.0,1712.0,0.0,1.0
Hollywood200K,JOB-Light,1,Bitmap Heap Scan,47,1.0223063743425618,1.0101585866885785,1.0593182003529682,1.0900313319265937,1.1236938692611427,1.1500984898227182,0.574468085106383,0.425531914893617
Hollywood200K,JOB-Light,1,Index Only Scan,49,263392.0528756957,232884.11111111112,388549.0,388549.0,388549.0,388549.0,0.0,1.0
Hollywood200K,JOB-Light,1,Index Scan,63,154241.74569806806,223636.16666666666,351455.0,351455.0,351455.0,351455.0,0.3968253968253968,0.6031746031746031
Hollywood200K,JOB-Light,1,Seq Scan,95,1.000523532473136,1.000393996129382,1.0013870764358295,1.0013870764358295,1.0016440385582757,1.0033411259494116,0.11578947368421053,0.47368421052631576
Hollywood200K,JOB-Light,2,Hash Join,52,1.652646985565366,1.0140932733350057,2.3,2.4444444444444446,12.4116666666667,21.166666666666668,0.5384615384615384,0.4230769230769231
Hollywood200K,JOB-Light,2,Nested Loop,18,90749.96682213407,151179.147485081,152372.1568627451,152372.1568627451,152372.1568627451,152372.1568627451,0.1111111111111111,0.8888888888888888
Hollywood200K,JOB-Light,3,Hash Join,28,2.397629181065862,1.1543928149736358,1.8036365302947148,5.106344696969692,22.894318181818193,29.0,0.10714285714285714,0.8928571428571429
Hollywood200K,JOB-Light,3,Nested Loop,39,9470542420.146471,2.4583333333333335,47914908349.12281,47914908349.12281,49565310747.81481,50576847701.85185,0.48717948717948717,0.48717948717948717
Hollywood200K,JOB-Light,4,Hash Join,18,2.586976039329184,2.121495327102804,2.7555555555555555,3.9509689922480513,9.017583979328153,10.28423772609819,0.5,0.5
Hollywood200K,JOB-Light,4,Nested Loop,17,34.16493837743439,2.8541666666666665,112.2070974576272,253.71038135593218,257.8073305084746,258.83156779661016,0.6470588235294118,0.35294117647058826
Hollywood200K,JOB-Light,5,Hash Join,2,3.784984722178794,3.784984722178794,3.8560062122590804,3.8648838985191163,3.871986047527145,3.8737615847791522,0.0,1.0
Hollywood200K,JOB-Light,5,Nested Loop,10,3.8613598433149123,3.337727272727273,4.748075358583592,7.5213438200358524,9.73995858919767,10.294612281488122,0.7,0.3
