dataset,workload,method,n,query_count,q_mean,q_median,q_p90,q_p95,q_p99,q_max,over_frac,under_frac
Hollywood200K,JOB,DuckDB,113,113,8491.521737803267,267.0,8883.545098039214,20850.476923076894,254276.4399999992,275608.0,0.4247787610619469,0.5486725663716814
Hollywood200K,JOB,MSCN,339,113,697.814506616316,4.231843779342884,419.15005693899406,1479.8187541448247,17528.258838413178,53387.15776923118,0.415929203539823,0.584070796460177
Hollywood200K,JOB,PostgreSQL,113,113,7623.162910930703,28.0,11116.199999999999,23701.99999999997,89603.1999999997,486605.0,0.19469026548672566,0.7079646017699115
Hollywood200K,JOB-Complex,DuckDB,30,30,69783.15148342887,189.768671679198,22240.62205882353,63996.66176470567,1388957.2052631592,1916312.894736842,0.4666666666666667,0.43333333333333335
Hollywood200K,JOB-Complex,MSCN,90,30,3223.463392934638,5.318640470504761,1359.8715031190739,11444.997228824564,75732.20847118819,105589.1337286646,0.4666666666666667,0.5333333333333333
Hollywood200K,JOB-Complex,PostgreSQL,30,30,67607.67938106296,20.5,144537.11507352965,307124.29283088224,969799.592272728,1235222.0,0.03333333333333333,0.8666666666666667
Hollywood200K,JOB-Light,DuckDB,70,70,4493.323144706155,362.11302634819015,17498.69306818182,24715.731825657876,38869.0,38869.0,0.5142857142857142,0.4857142857142857
Hollywood200K,JOB-Light,MSCN,210,70,54449.7692741272,7.473997042068361,26635.23924563105,71158.07939737894,2057428.3522219667,3125841.9809712907,0.319047619047619,0.680952380952381
Hollywood200K,JOB-Light,PostgreSQL,70,70,18.155218451277612,1.9836463500353978,17.7979343220339,152.71154661016885,259.22317266949153,260.0948093220339,0.4714285714285714,0.5142857142857142
