comparison,workload,node_class,previous_n,previous_q_median,previous_q_p90,previous_q_p95,previous_q_p99,previous_q_max,previous_under_frac,previous_over_frac,balanced_n,balanced_q_median,balanced_q_p90,balanced_q_p95,balanced_q_p99,balanced_q_max,balanced_under_frac,balanced_over_frac,q_median_ratio_balanced_over_previous,q_p90_ratio_balanced_over_previous,q_p95_ratio_balanced_over_previous,q_p99_ratio_balanced_over_previous,q_max_ratio_balanced_over_previous
previous_strict_duckdb_v4_200K_vs_balanced_200K,ALL,all,2889,1.307186476837316,286.22727272727275,1794.0,36690.0,653836.0,0.5019037729318103,0.1322256836275528,2889,1.7071838295547666,307.47916666666697,2812.7,36788.15999999991,1887298.880952381,0.4551748009691935,0.19314641744548286,1.3059986924629359,1.0742483193054904,1.5678372352285395,1.0026753883892043,2.8865019377219685
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB-Light,all,438,1.0311052799750517,2.0,2.990415096231942,10.0,15.0,0.5,0.319634703196347,438,1.0598689006704822,3.4179349649024116,9.0,30.154999999999987,260.0948093220339,0.3538812785388128,0.4794520547945205,1.0278959105864791,1.7089674824512058,3.0096156253827124,3.0154999999999985,17.33965395480226
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB,all,1841,1.7784810126582278,457.0,3250.0,39277.99999999973,653836.0,0.4997284084736556,0.10048886474741989,1841,2.0,349.08641975308643,2835.98,36690.0,992602.0,0.45736013036393264,0.15154807170016296,1.124555160142349,0.7638652511008456,0.8726092307692308,0.9341106981007243,1.5181207519928546
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB-Complex,all,610,2.0,563.1820000000002,1794.0,20111.839999999956,227218.0,0.5098360655737705,0.09344262295081968,610,2.0,1711.1,7197.545454545455,195410.91499999765,1887298.880952381,0.521311475409836,0.11311475409836065,1.0,3.0382718197669654,4.012009729401034,9.716212688645001,8.306115188727922
previous_strict_duckdb_v4_200K_vs_balanced_200K,ALL,scan,1551,1.0,3.0,48.0,174.18987341772151,36690.0,0.2076079948420374,0.19342359767891681,1551,1.0,3.0674560160093387,35.97594307657556,200.03333333333333,36690.0,0.20696324951644102,0.19148936170212766,1.0,1.0224853386697796,0.7494988140953242,1.1483637332558196,1.0
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB-Light,scan,254,1.0017655175738294,1.5,2.0,7.349999999999994,10.0,0.31496062992125984,0.38188976377952755,254,1.0014102171278463,2.3,4.403787878787867,22.0,22.0,0.29133858267716534,0.4330708661417323,0.9996453257376601,1.5333333333333332,2.2018939393939334,2.993197278911567,2.2
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB,scan,977,1.0,3.075949367088603,48.0,98.98101265822784,36690.0,0.17604912998976457,0.16274309109518936,977,1.0,3.116422976694208,43.39999999999969,451.9258372413823,36690.0,0.17911975435005117,0.14329580348004095,1.0,1.0131580870734271,0.9041666666666602,4.565783124505301,1.0
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB-Complex,scan,320,1.0,14.200000000000273,83.43037974683563,200.03333333333333,212.33333333333331,0.21875,0.1375,320,1.0,9.908783783783786,73.77151898734178,200.03333333333333,212.33333333333331,0.225,0.146875,1.0,0.6978016749143378,0.8842284934000891,1.0,1.0
previous_strict_duckdb_v4_200K_vs_balanced_200K,ALL,join,1338,15.326923076923077,2001.0,9798.5,64963.0,653836.0,0.8430493273542601,0.061285500747384154,1338,14.0,3144.8299999999886,11595.333333333334,121722.91999999793,1887298.880952381,0.7428998505231689,0.19506726457399104,0.9134253450439147,1.5716291854072906,1.1833784082597678,1.8737268906915927,2.8865019377219685
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB-Light,join,184,1.1122719794659184,2.5449694070780007,3.2566816881182783,10.67999999999995,15.0,0.7554347826086957,0.23369565217391305,184,1.5267914213624896,6.270454545454553,18.175741525423724,258.76606461864407,260.0948093220339,0.44021739130434784,0.5434782608695652,1.3726781304835278,2.4638624448747133,5.58106172664536,24.229032267663417,17.33965395480226
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB,join,864,30.854085603112843,3412.8750000000005,11648.149999999954,65120.25,653836.0,0.8657407407407407,0.03009259259259259,864,18.990603185967423,2862.9638113207566,11545.258333333304,82238.17000000011,992602.0,0.7719907407407407,0.16087962962962962,0.6154971963924115,0.8388715705441179,0.9911666945680945,1.2628663127061108,1.5181207519928546
previous_strict_duckdb_v4_200K_vs_balanced_200K,JOB-Complex,join,290,40.247749425715526,1794.0,3802.1578804347896,204823.38500000033,227218.0,0.8310344827586207,0.04482758620689655,290,55.68224012928112,7422.400000000011,32505.59875000003,685395.5750000085,1887298.880952381,0.8482758620689655,0.07586206896551724,1.383487050177867,4.13734671125976,8.549250129056425,3.34627598796889,8.306115188727922
